"host_response_rate" "host_acceptance_rate" "host_response_time" "host_is_superhost"
"1" NA NA "N/A" "f"
"2" NA NA "N/A" "f"
"3" 100 NA "within an hour" "f"
"4" 50 NA "within a day" "f"
"5" 100 60 "within an hour" "f"
"6" NA NA "N/A" "f"
"7" 100 100 "within a few hours" "f"
"8" 100 NA "within an hour" "f"
"9" 100 0 "within a day" "f"
"10" 100 88 "within an hour" "f"
"11" NA NA "N/A" "f"
"12" 100 0 "within a few hours" "f"
"13" NA NA "N/A" "f"
"14" NA NA "N/A" "f"
"15" 100 NA "within a day" "f"
"16" 100 43 "within an hour" "f"
"17" 80 50 "within a few hours" "f"
"18" 100 100 "within an hour" "f"
"19" 100 100 "within a few hours" "f"
"20" NA NA "N/A" "f"
"21" NA NA "N/A" "f"
"22" NA NA "N/A" "f"
"23" NA NA "N/A" "f"
"24" NA NA "N/A" "f"
"25" NA NA "N/A" "f"
"26" 100 94 "within an hour" "f"
"27" 80 87 "within a day" "f"
"28" NA NA "N/A" "f"
"29" NA NA "N/A" "f"
"30" NA NA "N/A" "f"
"31" 80 60 "within a day" "f"
"32" 100 100 "within a day" "f"
"33" NA NA "N/A" "f"
"34" 100 NA "within a few hours" "f"
"35" NA NA "N/A" "f"
"36" NA NA "N/A" "f"
"37" 90 36 "within a day" "f"
"38" NA NA "N/A" "f"
"39" NA NA "N/A" "f"
"40" 100 82 "within a few hours" "f"
"41" 75 NA "within a few hours" "f"
"42" 75 NA "within a day" "f"
"43" 86 100 "within an hour" "f"
"44" 95 94 "within a few hours" "f"
"45" 80 61 "within a day" "f"
"46" 90 73 "within a day" "f"
"47" 100 67 "within a day" "f"
"48" NA NA "N/A" "f"
"49" 100 100 "within an hour" "f"
"50" NA NA "N/A" "f"
"51" 80 82 "within a day" "f"
"52" 100 96 "within an hour" "f"
"53" 25 60 "a few days or more" "f"
"54" 100 NA "within a day" "f"
"55" 100 94 "within an hour" "f"
"56" 100 100 "within an hour" "f"
"57" 100 100 "within an hour" "f"
